timestamp,temperature.gpu,clocks.sm,clocks.mem,power.draw,memory.used,utilization.gpu,clocks_throttle_reasons.sw_thermal_slowdown,clocks_throttle_reasons.hw_thermal_slowdown,clocks_throttle_reasons.sw_power_cap
2026/09/22 08:33:55.095, 79, 945, 6000, 61.05, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:57.165, 80, 855, 6000, 57.93, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:59.219, 79, 765, 6000, 49.47, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:01.277, 79, 510, 6000, 51.75, 7893, 87, Active, Not Active, Not Active
2026/09/22 08:34:03.336, 79, 660, 6000, 52.07, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:05.391, 79, 765, 6000, 52.38, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:07.629, 79, 585, 6000, 52.45, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:09.686, 79, 675, 6000, 52.42, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:11.749, 79, 885, 6000, 54.89, 7893, 96, Active, Not Active, Not Active
2026/09/22 08:34:13.803, 79, 1200, 6000, 52.10, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:34:15.858, 79, 945, 6000, 58.20, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:17.911, 79, 885, 6000, 58.31, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:19.968, 78, 1410, 6000, 61.06, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:22.026, 79, 885, 6000, 57.32, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:24.099, 79, 780, 6000, 55.78, 7893, 96, Active, Not Active, Not Active
2026/09/22 08:34:26.155, 79, 885, 6000, 58.06, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:28.232, 79, 885, 6000, 58.43, 7893, 96, Active, Not Active, Not Active
